qu;sacc;qsta;qend;leng;gapop;pid;nid;bitscore;score;taxid;species;genus;family;phylum;kingdom;superkingdom
OTU_1_ACM_008_Klin0341_CR;HQ742422;1;312;312;0;100.00;312;577;312;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_2_ACM_008_Klin0341_CR;KC245272;1;300;300;0;100.00;300;555;300;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_3_ACM_008_Klin0341_CR;KC968976;259;508;250;0;100.00;250;462;250;56742;Alstroemeria aurea;Alstroemeria;Alstroemeriaceae;Streptophyta;Viridiplantae;Eukaryota
OTU_3_ACM_008_Klin0341_CR;KC968976;259;508;250;0;100.00;250;462;250;56742;Alstroemeria aurea;Alstroemeria;Alstroemeriaceae;Streptophyta;Viridiplantae;Eukaryota
OTU_3_ACM_008_Klin0341_CR;KC968976;1;250;250;0;99.60;249;457;247;56742;Alstroemeria aurea;Alstroemeria;Alstroemeriaceae;Streptophyta;Viridiplantae;Eukaryota
OTU_3_ACM_008_Klin0341_CR;KC968976;1;250;250;0;99.60;249;457;247;56742;Alstroemeria aurea;Alstroemeria;Alstroemeriaceae;Streptophyta;Viridiplantae;Eukaryota
OTU_4_ACM_008_Klin0341_CR;FJ375906;4;298;295;0;99.66;294;540;292;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_5_ACM_008_Klin0341_CR;DQ113689;1;300;300;1;99.67;299;547;296;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_6_ACM_008_Klin0341_CR;HQ793773;1;300;300;0;100.00;300;555;300;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_7_ACM_008_Klin0341_CR;AB682465;1;343;343;0;100.00;343;634;343;1599;214326;1113950;;;;;;
OTU_8_ACM_008_Klin0341_CR;AB567726;1;312;312;0;100.00;312;577;312;1561;Clostridium baratii;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_9_ACM_008_Klin0341_CR;EU778555;1;312;312;0;100.00;312;577;312;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_10_ACM_008_Klin0341_CR;EU776085;1;338;338;0;100.00;338;625;338;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_11_ACM_008_Klin0341_CR;KF578020;1;306;306;0;100.00;306;566;306;1397365;Flavobacterium sp. Movanagher J2;Flavobacterium;Flavobacteriaceae;Bacteroidetes;undef;Bacteria
OTU_12_ACM_008_Klin0341_CR;EU773755;1;310;310;0;99.68;309;568;307;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_13_ACM_008_Klin0341_CR;CP006838;1;320;320;0;100.00;320;592;320;1406863;Staphylococcus aureus;Staphylococcus;Staphylococcaceae;Firmicutes;undef;Bacteria
OTU_13_ACM_008_Klin0341_CR;CP006838;1;320;320;0;100.00;320;592;320;1406863;Staphylococcus aureus;Staphylococcus;Staphylococcaceae;Firmicutes;undef;Bacteria
OTU_13_ACM_008_Klin0341_CR;CP006838;1;320;320;0;100.00;320;592;320;1406863;Staphylococcus aureus;Staphylococcus;Staphylococcaceae;Firmicutes;undef;Bacteria
OTU_13_ACM_008_Klin0341_CR;CP006838;1;320;320;0;100.00;320;592;320;1406863;Staphylococcus aureus;Staphylococcus;Staphylococcaceae;Firmicutes;undef;Bacteria
OTU_13_ACM_008_Klin0341_CR;CP006838;1;320;320;0;100.00;320;592;320;1406863;Staphylococcus aureus;Staphylococcus;Staphylococcaceae;Firmicutes;undef;Bacteria
OTU_14_ACM_008_Klin0341_CR;HQ820798;1;307;307;0;99.67;306;562;304;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_15_ACM_008_Klin0341_CR;AB538434;1;298;298;0;100.00;298;551;298;1490;59620;77133;;;;;;
OTU_16_ACM_008_Klin0341_CR;JN628990;1;331;331;0;100.00;331;612;331;1351;Enterococcus faecalis;Enterococcus;Enterococcaceae;Firmicutes;undef;Bacteria
OTU_17_ACM_008_Klin0341_CR;HQ808793;1;300;300;0;99.67;299;549;297;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_18_ACM_008_Klin0341_CR;NR_042110;1;305;305;0;99.67;304;558;302;174709;1050201;;;;;;
OTU_19_ACM_008_Klin0341_CR;AB640687;1;312;312;0;99.36;310;566;306;84025;Clostridium haemolyticum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_20_ACM_008_Klin0341_CR;JN867421;1;310;310;0;99.68;309;568;307;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_21_ACM_008_Klin0341_CR;EU776015;1;317;317;0;99.68;316;580;314;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_22_ACM_008_Klin0341_CR;AB626130;1;320;320;0;100.00;320;592;320;1141106;Staphylococcus intermedius;Staphylococcus;Staphylococcaceae;Firmicutes;undef;Bacteria
